,link,moviename,vote_average,vote_count,img,director,scriptwriter,actors,place,language,secName,types,long,years,overview
674,https://movie.douban.com/subject/1292274/,幸福终点站 The Terminal,8.8,378693,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,史蒂文·斯皮尔伯格,安德鲁·尼科尔,汤姆·汉克斯, 美国, 英语 / 保加利亚语 / 西班牙语 / 俄语 / 汉语普通话 / 德语 / 法语, 机场客运站(港) / 航站情缘(台) / 航站奇缘 / 单程机票航站奇缘 / 候机楼 / 单程机票 / 爱你无国界,"['剧情', '喜剧', '爱情']",128,2005,为了完成父亲的心愿，维克多（汤姆•汉克斯 Tom Hanks 饰）从故国乘坐飞机前往美国肯尼迪机场，但戏剧性的事情发生了：他被告知祖国发生政变，而他的身份证护照一一失效，同时他的签证也无法再使用。进退两难的维克多只有在机场滞留，等待新证件的办理。
675,https://movie.douban.com/subject/30413052/,攀登者,6.1,258766,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568577681.jpg,李仁港,阿来,吴京, 中国大陆, 汉语普通话 / 藏语, The Climbers,"['剧情', '爱情', '冒险']",125,2019,1960年，中国登山队向珠峰发起冲刺，完成了世界首次北坡登顶这一不可能的任务。15 年后，方五洲和曲松林在气象学家徐缨的帮助下，带领李国梁、杨光等年轻队员再次挑战世界之巅。迎接他们的将是更加 严酷的现实，也是生与死的挑战......
676,https://movie.douban.com/subject/25717233/,心花路放,7.2,416590,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221061003.jpg,宁浩,岳小军,黄渤, 中国大陆, 汉语普通话 / 粤语 / 云南方言, 玩命邂逅 / 玩儿命邂逅 / 心花怒放 / Breakup Buddies,"['喜剧', '爱情']",118,2014,二手音响商耿浩（黄渤 饰）婚姻失败，他想用锤子爆小三（李晨 饰）的头，却迟迟没有勇气，幸亏在剧组做制片的兄弟郝义（徐峥 饰）及时发现自暴自弃的耿浩，他决定带着耿浩开启一段“治愈之旅”。于是一对好基友带着一只狗上路，邂逅三千公里的“桃花”。“阿凡达女郎”（陶慧 饰）、“杀马特”周丽娟（周冬雨 饰）、“白富美”（张俪 饰），各式各样的女人接连登场，耿浩一路艳遇一路疗伤。时光倒转，5年前的此时，大龄文艺女青年（袁泉 饰）因为听了一首流浪歌手耿浩的歌，毅然前往大理……在经历一连串奇葩遭遇之后，大家都放下了心里的“阴影”，找到了通向幸福的道路。
677,https://movie.douban.com/subject/26289144/,滚蛋吧！肿瘤君,7.4,337377,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259298553.jpg,韩延,袁媛,白百何, 中国大陆, 汉语普通话 / 英语 / 韩语, 消失吧！肿瘤君 / 消失吧，肿瘤君 / 翻滚吧！肿瘤君 / Go away Mr. Tumor,"['喜剧', '爱情']",128,2015,即将迎来29岁生日的青年漫画家熊顿（白百何 饰），却接二连三遭遇了常人难以想象的打击。工作被炒，男友跳票，还莫名其妙到警察局走了一遭。更糟糕的是，她在聚会上突然晕倒，经检查后才发现自己的身体出了问题。一向乐观开朗的熊顿并未被病魔吓到和打败，她笑嘻嘻地调侃吐槽周遭的人和事，一脸花痴地望着英俊帅气的梁医生（吴彦祖 饰）。最重要的是，身处逆境的她身边还有父母（李建义 & 刘莉莉 饰）以及夏梦（李媛 饰）等一班好友的鼎力支持。无论驶向哪里，熊顿永远不会孤独，不会放弃……
678,https://movie.douban.com/subject/25698722/,来自星星的你 별에서 온 그대,8.4,258733,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2163020178.jpg,张太维,朴智恩,金秀贤, 韩国, 韩语, 从星星来的你 / 来自星星的男人 / My Love From the Stars / You Who Came from the Stars,['爱情'], 60分钟,2013,17世纪初，不明飞行物出现在朝鲜上空，由此开启了一段绵亘四百年的传奇因缘。时间来到当代，当年来到地球的外星人以大学教授都敏俊（金秀贤 饰）的身份生活在韩国的普通人中间。还有三个月一枚彗星即将接近地球，届时这个在地球上滞留了四百年的外星人将得以返回故土。只不过，在此之前他总会想起初来之时遇见的少女徐宜花（金贤秀 饰），也渴望再见到12年前救过的一个小女孩。敏俊与颇受人诟病的国民偶像千颂伊（全智贤 饰）比邻而居，而且后者又是他所在大学的学生。最初的交流并不顺畅，但敏俊很快发现这个女孩和他竟有着如此深的渊源。
679,https://movie.douban.com/subject/1292679/,春光乍泄 春光乍洩,8.9,441975,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,王家卫,王家卫,张国荣, 中国香港 / 日本 / 韩国, 粤语 / 汉语普通话 / 西班牙语, 一起快乐 / Happy Together,"['剧情', '爱情', '同性']",96,1997,黎耀辉（梁朝伟）与何宝荣（张国荣）是一对同性恋人，为了有新的开始，他们怀着美丽的梦想（去看南美洲大瀑布）离开香港来到阿根廷，却在布宜诺斯艾利斯迷了路。黎耀辉想安下心来过日子，无奈何宝荣于夜夜笙歌中放纵着自己的生命，以期找寻更多的刺激，只当黎耀辉是他受伤后的港湾，两人分歧 、争吵越来越多，心的距离越来越远。
680,https://movie.douban.com/subject/1292401/,真爱至上 Love Actually,8.6,515292,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特, 英国 / 美国 / 法国, 英语 / 葡萄牙语 / 法语, 爱是您，爱是我(台) / 真的恋爱了(港) / 真情角落 / 真爱 / Love Actually Is All Around,"['剧情', '喜剧', '爱情']",135,2003,这是一出10个爱情故事串成的喜剧杂烩：
681,https://movie.douban.com/subject/25745752/,左耳,5.6,198733,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238949728.jpg,苏有朋,饶雪漫,陈都灵, 中国大陆, 汉语普通话, 左耳电影版 / The Left Ear,"['剧情', '爱情']",117,2015,单纯美丽的李珥（陈都灵 饰）左耳失聪，无法听见声音，然而，生理上的缺陷并没有令她感到自卑，正相反，她的个性温顺又温柔。一次偶然中，李珥结识了名叫吧啦（马思纯 饰）的女孩，吧啦的个性和李珥截然相反，她无拘无束，桀骜不驯，向往自由的生活。在吧啦的身上，李珥看到了自己内心里叛 逆执着的一面。
682,https://movie.douban.com/subject/25975243/,三生三世十里桃花,6.5,201161,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2412572406.jpg,林玉芬,弘伙,杨幂, 中国大陆, 汉语普通话, 三生三世十里桃花电视剧版 / To the Sky Kingdom / Eternal Love,"['剧情', '爱情', '奇幻']", 45分钟,2017,为了封印邪恶的翼君擎苍，青丘狐帝幺女白浅（杨幂 饰）失去了全部的法力和记忆，容貌亦不如从前，落入凡间的她邂逅了名为夜华（赵又廷 饰）的男子，身为九重天太子的夜华将白浅带入天宫。两人的忠贞的感情让一直以来爱恋着夜华的素锦（黄梦莹 饰）嫉妒不已，在她的挑拨离间之下，白浅和夜华之间的感情出现了无法弥补的裂痕。不仅如此，素锦还设计得到了白浅的双眼。
683,https://movie.douban.com/subject/4873490/,失恋33天,7.2,519388,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1252876266.jpg,滕华涛,鲍鲸鲸,白百何, 中国大陆, 汉语普通话, 黄了一个来月(豆友译名) / Love is Not Blind,"['剧情', '爱情']",110,2011,高端婚礼策划师黄小仙（白百何 饰）做梦也想不到，相恋七年的男友居然和自己的闺蜜走到了一起，这让一向刻薄强势的她无论如何也不能忍受。可是地球并不会因为某人的失恋而停止运转，黄小仙在面对情感失意的同时，还不得不面对工作上的压力。但是，在没有了爱情的这段时间里，黄小仙发现了很 多以前根本不会去注意的东西，例如那个总是与自己针峰相对的娘娘腔同事王小贱（文章 饰）并没有那么讨厌，例如钻石王老五与河南籍港台腔女子的结合到底是什么原理，还有如何走到金婚的秘诀。在明白了种种之后，也就是在黄小仙失恋的第33天里，在那个灯火阑珊的城市里，她发现“那人”其实一直伴她左右……
