,link,moviename,vote_average,vote_count,img,director,scriptwriter,actors,place,language,secName,types,long,years,overview
2,https://movie.douban.com/subject/6039412/,时光尽头的恋人 The Age of Adaline,6.6,44556.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2234995897.jpg,李·托兰·克里格,J·迈尔斯·古德洛,布蕾克·莱弗利, 美国, 英语, 阿戴琳的年龄 / 时光逆爱90年(港) / 时空永恒的爱恋(台) / 美人不迟暮,"['剧情', '爱情', '奇幻']",112,2015.0,1908年，阿戴琳（布蕾克·莱弗利 Blake Lively 饰）出生了，一晃眼27年过去，曾经那个哇哇啼哭的小婴儿已经长大成人，组建了属于自己的家庭，成为了一名母亲。然而，就在这人生中最幸福的时刻，一场意外的发生让阿戴琳徘徊在生死的边缘并最终幸运的死里逃生，然而，很快，阿戴琳就发现，自己的身体发生了某些奇妙的变化，她竟然不再变老，而是永远的停留在了27岁。
5,https://movie.douban.com/subject/4925418/,伤物语1：铁血篇 傷物語Ⅰ 鉄血篇,8.3,6354.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2271910694.jpg,新房昭之,西尾维新,神谷浩史, 日本, 日语, Kizumonogatari Part 1: Tekketsu-hen,"['喜剧', '动作', '爱情', '动画', '奇幻']",64,2016.0,樱花飞舞的3月25日，完成了一学期学业的午后。高二学生阿良良木历（神谷浩史 配音）从优等生羽川翼（堀江由衣 配音）那里听说了本町出现吸血鬼的传言。当晚，历在地铁站台见到了一个血淋林的女人。她四肢全无，痛苦求救。而女人的身后则站着一个金色头发却目光阴冷的身影，那难道就是传言中的吸血鬼？在这个夜晚，历与活了500年的吸血鬼姬丝秀忒•雅赛劳拉莉昂•刃下心（坂本真绫 配音）完成了命运的相逢……
6,https://movie.douban.com/subject/1292269/,骗中骗 The Sting,8.7,38289.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1227416748.jpg,乔治·罗伊·希尔,大卫·S·瓦德,保罗·纽曼, 美国, 英语, 老千计状元才(港) / 刺激(台),"['剧情', '喜剧', '犯罪']",129,1973.0,卢克领导着一个诈骗集团在芝加哥附近的约里埃特行骗。这天，手下人向他交了一大笔刚刚骗了的钱。不久，卢克就遭到了谋杀。原来，这笔钱是芝加哥的黑社会头目朗尼根（罗伯特•肖 Robert Shaw 饰）刚刚收回的赌款，正是这笔钱令卢克引火烧身。
7,https://movie.douban.com/subject/1394510/,十二国记 十二国記,9.1,32009.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1902914675.jpg,小林常夫,会川升,久川绫, 日本, 日语, 12 kokuki / The Twelve Kingdoms / 十二国战记,"['剧情', '动画', '奇幻', '冒险']", 25分钟,2002.0,有着血红色头发的高中女生阳子一心想做个好学生，得到周围人的认可。然而在她平静祥和的生活背后却是深沉的压抑与掩饰，一夜夜的梦魇给她带来无尽的烦恼与痛苦。一天，一头金发的男子来到她的面前，把她带入了另一个世界，一个充满未知却仿佛故里的地方。
9,https://movie.douban.com/subject/30403338/,某处，某人 Deux moi,7.4,2355.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561160705.jpg,塞德里克·克拉皮斯,圣地亚哥·阿米戈雷纳,安娜·吉拉多特, 法国 / 比利时, 法语," 巴黎寂寞不打烊(台) / Someone, Somewhere","['剧情', '喜剧', '爱情', '家庭']",110,2019.0,三十岁的雷米和米兰妮住在巴黎同一区。他们约见心理医生，目的是要认识“自我”。他们都是患有大城市孤独症的受害者，大家都以为在现今这以极速网络联系的世界中，交朋友会是很容易的事。在不知的情况下，二人分别走两条指向同一方向的路…… 朝向一个爱情故事的路？
10,https://movie.douban.com/subject/5975193/,爱情真善美,5.4,8909.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2536580719.jpg,沈怡,张雅郡,唐嫣, 中国大陆, 汉语普通话, 夏家三千金2 / 夏家三千金第二部,"['剧情', '爱情']", 46分钟,2011.0,夏家养女夏友善（戚薇 饰）和亲生女儿杨真真（张檬 饰）因名为钟皓天（陈楚河 饰）的男子而产生了矛盾，占有欲强烈的友善决定不惜一切代价得到自己想要的东西。夏正松（黄文豪 饰）和妻子杨柳（刘瑞琪 饰）不忍心看到女儿们之间手足相残，他们决定不再对家庭里剑拔弩张的气氛坐视不管。
11,https://movie.douban.com/subject/1307031/,星际牛仔：天国之门 カウボーイビバップ 天国の扉,8.9,22377.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454096953.jpg,渡边信一郎,矢立肇,山寺宏一, 日本 / 美国, 法语 / 德语 / 意大利语 / 葡萄牙语 / 西班牙语 / 日语 / 英语 / 阿拉伯语, 赏金猎人：天国之扉 / Cowboy Bebop: The Movie / Cowboy Bebop: Knockin' On Heavens Door / Cowboy Bebop: Tengoku no tobira,"['剧情', '喜剧', '动作', '科幻', '动画', '惊悚', '犯罪']",116,2001.0,2071年的万圣节前夕，火星上的大城市突然发生了令人惊叹的犯罪。高速公路上一辆油罐车爆炸了。事故发生现场的人们因不明原因病倒，死伤人数超过400人。这样大规模的杀人事件，似乎是不明来源的生物武器所为。为此，火星政府发布了3亿圆的赏金悬赏恐怖分子。目击事件的faye单独行动妄图独占赏金，艾德使用黑客技术找到线索，与Bebop号上的大家一起行动。四人一狗组合再次出动，但他们不知道，这3亿元的代价，是对抗前所未有的强大犯罪者。
12,https://movie.douban.com/subject/2354900/,空之境界 第二章 杀人考察（前） 劇場版 空の境界 第二章 殺人考察（前）,8.7,18695.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192136839.jpg,野中卓也,平松正树,坂本真绫, 日本, 日语, 空之境界电影版2：杀人考察(前) / Gekijô ban Kara no kyôkai: Dai ni shô - Satsujin kôsatsu (zen),['动画'],60,2007.0,1995年9月，16岁的两仪式与黑桐干也相遇了。
14,https://movie.douban.com/subject/3168062/,国家地理：人类消失之后 Aftermath: Population Zero,7.7,1608.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183435652.jpg,Christopher Rowley,艾伦·韦斯曼,雷格·E·凯蒂, 美国 / 加拿大, 英语, 人类消失后的世界 / 没有我们的世界 / 零人口的后果,"['科幻', '纪录片']",90,2008.0,"该片设定了一个有趣的背景，即：如果从明天开始，全世界60亿人类 ""集体消失""，地球会变成什么模样？影片将 ""人类消失"" 这一年当作 ""元年""，以全新的视角，通过动画模拟＋实地拍摄的方式，讲述此后数天至数百年内地球的变化。如果大家看过《I Am Legend》，该片的气氛与之有点类似。"
15,https://movie.douban.com/subject/3345619/,IT狂人  第三季 The IT Crowd Season 3,9.4,38390.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2273033874.jpg,Ben Fuller,格雷厄姆·莱恩汉,克里斯·奥多德, 英国, 英语, IT群英 第三季 / IT一族 第三季,['喜剧'], 23分钟,2008.0,地处公司地下一层的IT部门，故事仍在继续。除了发型的变化，二男一女的IT部仍然具有强大的吸引稀奇古怪事情的体质。
17,https://movie.douban.com/subject/1296702/,星际旅行10：复仇女神 Star Trek: Nemesis,7.0,6386.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2209409030.jpg,斯图尔特·贝尔德,约翰·洛根,帕特里克·斯图尔特, 美国, 英语, 星际迷航10：克星 / 星空奇遇记：星战启示录(港) / 星舰奇航记10：星战启示录(台) / 星际争霸战10 / 星舰迷航记10 / Star Trek 10,"['动作', '科幻', '惊悚']",116,2002.0,企业号宇宙飞船遨游在太空，在人类和外星人中间传播好意，同时也在防范敌对星球有可能的攻击行为，因为有迹象表明，星际联盟的老对头罗木兰星球有可能发起新一轮的攻击。皮卡特船长和他的船员们也在小心翼翼的观察着事态的进展，时刻准备投入战斗。
18,https://movie.douban.com/subject/25749413/,费城夜美丽 Beautiful Something,6.0,251.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2236657954.jpg,Joseph Graham,Joseph Graham,Grant Lancaster, 美国, 英语, 費城一夜情(台) / 怪佢過份美麗,"['剧情', '同性']",92,2015.0,《迷宫》编导的最新力作。一个满月的静谧之夜，讲述费城四个不同世代的生命故事，交织着性的欢愉和绝望的空虚。布莱恩曾是才华洋溢、屡获殊荣的诗人，但面临江郎才尽的窘境；吉姆是英俊有抱负的演员，认为戏剧是他生活的一切；包柏是一位天才经纪人，但他始终无法忘怀过去；德鲁是个着名凋塑家，爱艺术更胜于爱他的情人。
19,https://movie.douban.com/subject/10767516/,致美丽的你 아름다운 그대에게,6.7,23077.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1671098926.jpg,全基尚,李英哲,崔珉豪, 韩国, 韩语, 韩版偷偷爱着你 / 韩版花样少年少女 / For You in Full Blossom,"['剧情', '爱情']", 65分钟,2012.0,韩国人气跳高选手姜泰俊（崔珉豪 饰），因为腿伤未愈而失去信心，萌生退出校田径队的念头。具在熙（崔雪莉 饰），一个远在美国的女生，曾因泰俊获奖时所说的“奇迹是努力的另一个名字”而大受鼓舞。她女扮男装转学到泰俊就读的男子高校，并且机缘巧合下成为了泰俊的舍友。同班的男生都爱捉弄具在熙，而活泼热情的车恩杰（李玹雨 饰）却对她有好感，不禁为自己喜欢男生而烦恼。不久，校医发现了具在熙的真实身份，她告诉校医自己是为了帮泰俊而来，恳求不要拆穿这个秘密。而冷漠的泰俊也逐渐对她有了特殊的感觉，并逐渐恢复了对跳高的热情……
20,https://movie.douban.com/subject/30373743/,漫长的告别,7.3,4154.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575134612.jpg,马志宇,马志宇,周峻纬, 中国大陆, 汉语普通话, 请不要为所欲为,"['爱情', '悬疑']", 45分钟,2019.0,2006年，南方某县城，女大学生尹露遇害，由于线索的缺失，案件侦破迟迟没有进展。连舟是尹露男友，为寻找真相，不顾所有人反对，毅然搬到了尹露最后出现过的古城，以送煤气罐的工作为掩护，开始了大海捞针似的调查。在此期间，连舟与负责案件侦破的刑警付翔结下了深厚友谊，连舟也从一个年轻莽撞、一意孤行的青年，慢慢成长变得稳重冷静、细思熟虑的成年人。整个调查过程中，一次意外长时间的昏迷后，因牵扯到案件里的人事物的遭遇变化，也不禁令连舟更进一步反思自己的所作所为为自己和他人的人生带来什么样不同的意义。
21,https://movie.douban.com/subject/1292347/,黑客帝国动画版 The Animatrix,8.8,39987.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1185327352.jpg,钟彼得,莉莉·沃卓斯基,大塚明夫, 美国, 英语 / 日语, 骇客帝国动画版,"['剧情', '动作', '科幻', '动画']",102,2003.0,《黑客帝国动画版》由9段以《黑客帝国》系列电影世界观为基础生发出的短片组成，各篇的角度与风格各异，制作班底汇聚了日本、美国、韩国三地的动画精英。《机器复兴》讲述了MATRIX的历史。机器人不堪人类恶劣对待，终于反抗并将人类化为能源。《少年故事》讲述一名少年突然收到来自网络的召唤，而大批黑衣人开始对他展开围捕。《虚拟程序》展示了一对男女在虚拟训练程序中的片断。《世界纪录》描写一位短跑运动员在接近突破人类极限时终被系统牢牢控制。《超越极限》叙述因为系统错误，平静的街区中出现了一片超常区域。《侦探故事》描写一位侦探被步步引领着试图摆脱系统的桎梏。《矩阵化》讲述一只机器人被人类捕获并驯化的故事。《终极战役》记录了一艘飞船毁灭的经过。
22,https://movie.douban.com/subject/1892530/,东方的承诺 Eastern Promises,7.5,17368.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186264487.jpg,大卫·柯南伯格,斯蒂文·奈特,维果·莫腾森, 英国 / 加拿大 / 美国, 英语 / 俄语 / 土耳其语 / 乌克兰语 / 乌尔都语, 巨塔杀机 / 黑幕迷情 / 来自东方的承诺 / 巨塔危机,"['剧情', '悬疑', '惊悚', '犯罪']",100,2007.0,圣诞节，一个14岁的俄罗斯少女因难产而死在伦敦一家医院，俄裔助产士安娜（娜奥米·沃茨 饰）觉得事有蹊跷，暗中调查少女的来历，却发现少女不但是一个偷渡客，而且还是深陷性交易的雏妓。
23,https://movie.douban.com/subject/25830682/,绿箭侠 第三季 Arrow Season 3,7.1,8777.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233551633.jpg,格伦·温特,格里格·伯兰蒂,斯蒂芬·阿梅尔, 美国, 英语, 绿箭 第三季 / Green Arrow Season 3,"['动作', '犯罪', '冒险']", 40min,2014.0,绿箭侠第三季背景讲述的是拥有上亿身价的Oliver Queen遭遇严重的游船事故。在失踪并宣布死亡5年后，被发现生还。当他重回大都市，受到了家人和朋友的热烈欢迎，但他们也感觉他和五年前不同。
24,https://movie.douban.com/subject/3256172/,赤警威龙 Bullet to the Head,5.9,7396.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1865881239.jpg,沃尔特·希尔,亚历山卓·卡蒙,西尔维斯特·史泰龙, 美国, 英语, 爆头 / 全面行动(台) / 重弹头(港) / 爆头哥 / Headshot,"['动作', '惊悚', '犯罪']",91,2013.0,吉米·波波（西尔维斯特·史泰龙 Sylvester Stallone 饰）是一名混迹黑道、刀头舔血的杀手，他奉行不杀女人和儿童的原则，和合作长达六年的搭档路易斯·布兰查登（乔恩·塞达 Jon Seda 饰）将一个个渣滓送往地狱。在刺杀前恶德警察格雷利的行动中，吉米恻隐心动，冒险放走了一名女子。未过多久，路易斯在酒吧争执中遇害。警方根据女人的口供和路易斯的身份，顺藤摸瓜查到吉米。探员泰勒·科旺（姜成镐 饰）辗转与吉米接洽，谁知却遭到一伙不明身份之人的袭击。身受枪伤并且意外杀死警察的泰勒得到吉米的救助，这两个分出黑白两道的男人被迫联合在一起。
25,https://movie.douban.com/subject/30166979/,不吉波普不笑 ブギーポップは笑わない,8.1,4854.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2543082723.jpg,夏目真悟,铃木智寻,悠木碧, 日本, 日语, 幻影死神 / Boogiepop and Others,"['剧情', '动画', '悬疑', '奇幻']", 24分钟,2019.0,少女宫下藤花，当她察觉到“世界之敌”的时候便会诞生出另一个名为“不吉波普”的人格。围绕着各种奇怪的事件，少年与少女们的故事慢慢展开了——
26,https://movie.douban.com/subject/1400666/,最佳女婿,6.6,20072.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2461323494.jpg,黄华麒,张海兴,张学友, 中国香港, 粤语, Faithfully Yours,['喜剧'],88,1988.0,美发师纪阿开（张学友）、服装设计师大眼龙（莫少聪）和风水师赖布丁（周星驰）三个死党合伙开了一家新潮美发店，不料开业当天就与隔壁理发店老板发生争执，幸得店老板女儿亚英（张敏）及时出手风波平息，过程中，三人皆被亚英魅力吸引，为赢其芳心，开始频频登其家门献殷勤。
27,https://movie.douban.com/subject/10792320/,谍影特工 The November Man,6.4,12927.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2322146824.jpg,罗杰·唐纳森,迈克尔·芬奇,皮尔斯·布鲁斯南, 美国, 英语, 十一月杀手 / 谍网暗战(港) / 特务交锋(台) / 没有间谍,['惊悚'],102,2016.0,彼得（皮尔斯·布鲁斯南 Pierce Brosnan 饰）曾是一名CIA的特工，人称“十一月杀手”，他个性沉稳技艺高超，深受上司和同僚们的信赖。然而，彼得厌倦了整日打打杀杀东躲西藏的日子，他费了好大一番工夫，总算得以金盆洗手，只希望能够隐姓埋名，找一个谁也不认识他的地方，在平静中度过余生。
28,https://movie.douban.com/subject/1416435/,破碎之花 Broken Flowers,7.8,14340.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p850786456.jpg,吉姆·贾木许,吉姆·贾木许,比尔·默瑞, 美国 / 法国, 英语, 当年相恋意中人 / 爱情，不用寻找 / 破碎花,"['剧情', '喜剧', '悬疑']",106,2005.0,年过半百的唐·琼斯顿（比尔·默瑞 Bill Murray 饰）一生拥有数不尽的浪漫恋情和风流韵事，但他从来无意组建家庭，只愿享受热恋的激情，任凭一个个出色的女性从身边流走，展开别样的人生。这一天，唐收到一封某前女友的来信，信中称继承了他血脉的儿子离家出走，正踏上一段寻父旅程。万千情愫，难以言喻，唐也展开一段倒溯之旅。他先后拜访了劳拉（莎朗·斯通 Sharon Stone 饰）、朵拉（弗兰西丝·康罗伊 Frances Conroy 饰）、卡门（杰西卡·兰格 Jessica Lange 饰）和派妮（蒂尔达·斯文顿 Tilda Swinton 饰）。人有百种，花有千姿，曾经的孟浪，蓦然回首，凋零的岂是那逝去的青春。这究竟是一段追索真相的旅程，还是关于情感与记忆的祭奠……
29,https://movie.douban.com/subject/1299790/,新最佳拍档 新最佳拍檔,6.9,5570.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p959890173.jpg,刘家良,曾国赐,许冠杰, 中国香港, 粤语, 最佳拍档5：兵马俑风云 / Aces Go Places V,"['喜剧', '动作', '犯罪']",103,1989.0,金刚（许冠杰 饰）与光头佬（麦嘉 饰）在一次泰国的任务中不欢而散，自此分道扬镳各奔前程……时间一晃三年，国宝兵马俑与秦皇宝剑在赴港展出的路上被白手套一伙施调包计窃走，自称“新最佳拍档”的飞贼姐弟（利智&张国荣 饰）再由白手套手中夺走宝剑，并高调登报嫁祸于最佳拍档。一时间，大陆方面派出的中国蓝波（李元霸 饰）与白手套等人均认为退出江湖的最佳拍档是夺剑人，对金刚和光头佬展开连番追捕。最终两个老搭档终于澄清误会，联合飞贼姐弟接受大陆方面的艰苦训练，以期能够为保护国宝而战……
30,https://movie.douban.com/subject/25835285/,男与女 남과여,8.0,48506.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2308184818.jpg,李胤基,申恩庆,孔侑, 韩国, 韩语, 雪国恋人(港) / 关不住的诱惑(台) / 男和女 / A Man and A Woman,"['剧情', '爱情']",115,2016.0,"春电影公司制作的《男与女》，故事讲述一对男女在异国相遇后，沉溺於禁忌爱恋的故事。本片由《精彩的一天》、《爱，不爱》的导演李润基执导。孔侑饰演男主角基宏，是出道以来首次挑战激情戏。全度妍则饰演尚敏，是出於对春电影公司和李润基导演的信任,，接受此一挑战。"
31,https://movie.douban.com/subject/26797632/,识汝不识丁,7.4,7485.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2379381949.jpg,陈鹏,毕延伟,晏紫东, 中国大陆, 汉语普通话, Love is More Than a Word,"['悬疑', '古装']", 30分钟,2016.0,《识汝不识丁》是一部古装断案题材的超级网络剧，讲述丹阳县为天下最有名的两位讼师林正庸和一锤先生的归隐之所，一直吸引来自五湖四海的优秀讼师们聚集在这儿。纨绔公子陶墨（蒋梓乐 饰）看上了丹阳县县官一职，故花费五千两银子捐于大旱之地，换来县令奖赏。陶墨，人非其名，“ 目不识丁、胸无点墨”。即便如此，但为了告慰其父的在天之灵，陶墨仍然想要做个好官。新官上任三把火，陶墨本该潜心于职务上，却没料到在刚上任之初，自己便遇到一锤先生关门弟子顾射（晏紫东 饰），从此二人平定一方的故事。
32,https://movie.douban.com/subject/1458910/,哆啦A梦：大雄的猫狗时空传 ドラえもん のび太のワンニャン時空伝,8.4,6490.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520703126.jpg,芝山努,岸间信明,大山信代, 日本, 日语, Doraemon: Nobita no Wan Nyan Jikûden,"['科幻', '动画', '冒险']",85,2004.0,平凡的一天，大雄偶然邂逅一条机灵可爱的小狗。小狗对他分外依恋，大雄无奈之下，只得拜托哆啦A梦想办法收养。与此同时，周围被丢弃的小猫小狗越来越多，小伙伴们忧心忡忡，甚至在后山也找不到小动物们借以安身立命之所。万般无奈之下，大雄他们将小动物带到连恐龙都尚未诞生的史前时代，利用进化退化枪促成动物们进化。次日，小伙伴们按照约定前去看望小动物，结果在时空隧道中遭到乱流。来到了比前一天万一千年的时代。此时，猫狗国已空前繁荣，他们在这里结识了小八等一种好友。不久得知地球将遭到陨石的撞击，而猫狗国内部也在酝酿着一个阴谋。新的冒险就此展开……
35,https://movie.douban.com/subject/26030078/,11.22.63,7.8,4886.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2318164176.jpg,凯文·麦克唐纳,斯蒂芬·金,詹姆斯·弗兰科, 美国, 英语, 拯救肯尼迪 / 惊魂日 / 1963年11月22日,"['科幻', '悬疑', '惊悚']", 60分钟,2016.0,该剧故事聚焦肯尼迪总统遇刺事件，1963年11月22日，美国得克萨斯州达拉斯市响起三声枪响，总统肯尼迪遇刺身亡，世界随之改变。如果你能改变历史，一切将会怎样？詹姆斯·弗兰科饰演的男主人公穿越时空，阻止暗杀约翰·菲茨杰拉德·肯尼迪的行动。
37,https://movie.douban.com/subject/2209575/,少年时代 Boyhood,8.5,182953.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187391526.jpg,理查德·林克莱特,理查德·林克莱特,埃拉·科尔特兰, 美国, 英语 / 西班牙语, 年少时代(台) / 我们都是这样长大的(港) / 少年12年 / 十二年 / The 12-Year Movie / Growing Up,"['剧情', '家庭']",165,2014.0,本片讲述一个男孩从6岁到18岁的成长历程，导演理查德·林克莱特花了12年时间来完成这部作品。它仔细描画了孩子的成长过程，及其父母亲各个方面的变化，可以让观众细致入微地体会岁月流逝的痕迹。为了不打扰主演艾拉·萨尔蒙的正常生活，拍摄均在他暑假期间的简短时间内完成。
38,https://movie.douban.com/subject/1292453/,疯狂的麦克斯2 Mad Max 2,7.2,12347.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192562008.jpg,乔治·米勒,乔治·米勒,梅尔·吉布森, 澳大利亚, 英语, 开路先锋(港) / 迷雾追魂手2(台) / 冲锋飞车队2 / 冲锋追魂手2 / 疯狂麦克斯2 / Mad Max 2: The Road Warrior,"['动作', '科幻', '惊悚', '冒险']",95,1981.0,在未来，因为战争和资源的枯竭，建立在石油之上的工业社会陷入崩溃，人们为了汽油展开生死争夺，这是恐怖如地狱的末世景象。失去了朋友和亲人的麦克斯（梅尔·吉布森 Mel Gibson 饰）以车为家，继续和公路骑士们无休无止的战斗。然而因为他的V8失去燃料，麦克斯只得离开公路，在一个陷阱猎手的指引下，前往一处石油钻井寻找燃料。荒漠中的人们，为了保卫钻井，建立了防御设施对抗骑士休曼格斯一伙，麦克斯从骑士们手中救出了一位奄奄一息的钻井保卫者，结果反被钻井守卫者们扣留，而此时，休曼格斯率领手下将钻井团团包围，危急关头，麦克斯设计对抗休曼格斯……
39,https://movie.douban.com/subject/3445575/,关于伊丽 درباره الی,8.1,4891.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p857168883.jpg,阿斯哈·法哈蒂,阿斯哈·法哈蒂,格什菲·法拉哈尼, 伊朗, 波斯语, 艾莉的小秘密 / Darbareye Elly / About Elly,"['剧情', '悬疑']",119,2009.0,在德国生活着很多伊朗人，阿莫德就是其中一个。在阿莫德回祖国度假的时候，他偶遇了美丽的幼儿园老师伊丽，刚刚离婚的他很快坠入了情网。就他还没来得及发动爱情攻势的时候，伊丽就离奇的消失了。大家伙开始分头寻找，直到法院介入了这桩案件，也未能找到什么线索，伊丽还是没有回来……
40,https://movie.douban.com/subject/26838467/,归还世界给你,3.5,6063.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563460881.jpg,蒋家骏,顾斐斐,杨烁, 中国大陆, 汉语普通话, 世界归还给你,"['爱情', '悬疑']", 45分钟,2019.0,沈忆恩和男友叶齐磊携手创业，大学刚毕业就事业起步、走上正轨。但商场诡谲、人心险恶，对手为争夺利益，导致了叶齐磊“意外身亡”。痛失爱人的沈忆恩并没有一蹶不振，她一方面独自扛起事业重任，将公司打造成知名时尚品牌；一方面追寻叶齐磊的下落。叶齐磊并没有死，他被人所救，因伤势严重不得不改头换面，在异国他乡恢复休养，死里逃生的他重新回国，成为时尚总裁“陆准”，决心查出当年他出事的真相。陆准和沈忆恩在亦敌亦友亦相识的危险气氛中再次相爱，沈忆恩有青梅竹马的追求者秦也，她的闺蜜岑未则爱上了英俊帅气的陆准，四个年轻人的友情和爱情微妙失衡。面对复杂的感情问题和事业的坎坷，沈忆恩和陆准终于在困难中找回了彼此的初心，携手并肩，真爱不灭。
42,https://movie.douban.com/subject/2296206/,流年更美丽 Le ciel sur la tête,7.3,915.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2515510326.jpg,Régis Musset,Nicolas Mercier,阿诺德·比纳德, 法国, 法语, Times Have Been Better,"['剧情', '同性']",95,2006.0,吉瑞米（Arnaud Binard 饰）是个人见人爱的帅哥，个性温和心地善良的他深得长辈和朋友们的喜爱，然而，除了弟弟罗宾（Olivier Guéritée 饰）外，没有人知道吉瑞米的秘密，他是一名同性恋者，并且有一个交往多时的男友。
44,https://movie.douban.com/subject/1304199/,威龙猛探 威龍猛探,6.2,3540.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1386408968.jpg,詹姆斯·格利肯豪斯,詹姆斯·格利肯豪斯,成龙, 中国香港 / 美国, 英语 / 粤语, The Protector,"['剧情', '动作', '犯罪']",91,1985.0,当夜色笼罩纽约，这里又变成了一座犯罪猖獗的城市。华人警察黄比利（成龙 饰）和同事来到酒吧庆祝来美十周年，不料同事却被一群闯入的劫匪杀死，愤怒的比利将凶手正法，因此激怒了上司，被惩罚性质的派到大亨沙比路的时装展上维持治安，表演期间，沙比路的女儿罗娜被一群人劫走，而沙比路的保镖宾尼事发前曾向香港打过多个电话，种种迹象表明，沙比路和香港头号毒枭高伟洛（乔宏 饰）有过合作，而二人产生争执可能导致这次的绑架。比利和搭档丹尼（丹尼·埃洛 Danny Aiello 饰）前往香港，在这里找到了高伟洛昔日两名合作伙伴李兴以及何天的女儿何美芳（叶倩文 饰），希望对方能够提供线索。高伟洛迅速派人追杀比利和丹尼，以及昔日的合作伙伴。比利冲破重重阻碍，查清了高伟洛的巢穴，带领搭档向高发起了猛攻……
47,https://movie.douban.com/subject/26616719/,弗兰兹 Frantz,8.3,25252.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2383307897.jpg,弗朗索瓦·欧容,弗朗索瓦·欧容,皮埃尔·尼内, 法国 / 德国, 法语 / 德语, 爱的替身(港) / 双面法兰兹(台),"['剧情', '爱情', '历史', '战争']",113,2016.0,法国导演弗朗索瓦·欧容在沉寂两年后，终于带着皮埃尔·尼内、葆拉·贝尔主演的《弗兰兹》杀回影坛。影片将以一战后的法国为背景，聚焦贝尔饰演的德国女人正因未婚夫的惨死而悲痛欲绝，尼内饰演的神秘法国男子却悄然出现，默默为其未婚夫墓碑致哀、献花，两人也就此揭开一段匪夷所思的往事。
48,https://movie.douban.com/subject/26884365/,探险活宝 第八季 Adventure Time with Finn and Jake Season 8,9.7,1875.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2501957253.jpg,Bong Hee Han,彭德尔顿·沃德,约翰·迪·马吉欧, 美国, 英语, 探险时光 / Adventure Time / Adventure Time with Finn & Jake,"['喜剧', '科幻', '动画', '奇幻', '冒险']", 11分钟,2017.0,芬恩与杰克一同离开噢噢大陆，探索自己的身世之谜。
53,https://movie.douban.com/subject/1293150/,宾虚 Ben-Hur,8.6,26118.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2201168652.jpg,威廉·惠勒,卡尔·顿伯格,查尔顿·赫斯顿, 美国, 英语, 宾汉 / 宾虚传,"['剧情', '动作', '历史', '战争', '冒险']",212,1959.0,故事发生在古罗马时期，护民官米撒拉(史蒂芬•博伊德 Stephen Boyd 饰)回到了故乡，重遇了儿时的好友宾虚(查尔登•海斯顿 Charlton Heston 饰)。宾虚家是犹太人的豪门，在犹太人中享有相当高的待遇，为了控制犹太人，使他们安份的臣服于古罗马帝国的统治之下，米撒拉希望宾虚帮忙。但宾虚不肯出卖自己的民族，于是两个好友决裂了。随后，米撒拉找了借口治了宾虚一家谋反罪，宾虚被卖到一艘军舰上当奴隶，而他也失去家人们的信息。一次偶然机会，宾虚立了战功，得到了古罗马的皇帝接见，他回到了故乡，也开始了他的复仇之旅!
